chr21	gene	5011799	5017145
chr21	exon	5011799	5011874
chr21	exon	5012548	5012687
chr21	exon	5014386	5014471
chr21	exon	5016935	5017145
chr21	gene	5022531	5036771
chr21	exon	5022531	5022693
chr21	exon	5025009	5025049
chr21	exon	5026280	5026630
chr21	exon	5027935	5028225
chr21	exon	5032053	5032217
chr21	exon	5033408	5033443
chr21	exon	5034582	5036771
chr21	gene	5073458	5087867
chr21	exon	5073458	5073685
chr21	exon	5087617	5087867
chr21	gene	5086740	5087232
chr21	exon	5086740	5087232
chr21	gene	5116341	5128369
chr21	exon	5128214	5128369
chr21	exon	5127898	5127950
chr21	exon	5125879	5125992
chr21	exon	5124756	5124875
chr21	exon	5121711	5121803
chr21	exon	5118691	5118847
chr21	exon	5116341	5117231
chr21	gene	5130871	5154658
chr21	exon	5154623	5154658
chr21	exon	5152961	5153073
chr21	exon	5148210	5148304
chr21	exon	5147779	5147878
chr21	exon	5147289	5147432
chr21	exon	5146658	5146793
chr21	exon	5146137	5146366
chr21	exon	5144091	5144234
chr21	exon	5143222	5143292
chr21	exon	5142532	5142668
chr21	exon	5141559	5141707
chr21	exon	5141277	5141424
chr21	exon	5140953	5141103
chr21	exon	5139698	5139878
chr21	exon	5137327	5137474
chr21	exon	5135935	5136043
chr21	exon	5135089	5135154
chr21	exon	5133902	5134120
chr21	exon	5133655	5133805
chr21	exon	5133426	5133500
chr21	exon	5130871	5131455
chr21	gene	5155499	5163695
chr21	exon	5163518	5163695
chr21	exon	5159080	5159274
chr21	exon	5155499	5158759
chr21	gene	5232668	5243833
chr21	exon	5243703	5243833
chr21	exon	5232668	5232924
chr21	gene	5499151	5502542
chr21	exon	5502369	5502542
chr21	exon	5499999	5500101
chr21	exon	5499151	5499809
chr21	exon	5502369	5502497
chr21	exon	5500067	5500101
chr21	exon	5499155	5499967
chr21	exon	5502369	5502497
chr21	exon	5499557	5500101
chr21	gene	5553637	5614880
chr21	exon	5553637	5553838
chr21	exon	5585823	5585987
chr21	exon	5590019	5590200
chr21	exon	5553659	5553838
chr21	exon	5585823	5585987
chr21	exon	5586445	5586499
chr21	exon	5590019	5590178
chr21	exon	5553669	5553838
chr21	exon	5590019	5590683
chr21	exon	5553669	5553838
chr21	exon	5566125	5566183
chr21	exon	5585823	5585987
chr21	exon	5590019	5591228
chr21	exon	5553679	5553838
chr21	exon	5579670	5579808
chr21	exon	5584810	5584975
chr21	exon	5585823	5585987
chr21	exon	5588137	5588646
chr21	exon	5553703	5553838
chr21	exon	5584810	5584975
chr21	exon	5585823	5585987
chr21	exon	5614752	5614880
chr21	exon	5553707	5553838
chr21	exon	5585823	5586369
chr21	exon	5553710	5553838
chr21	exon	5585823	5585987
chr21	exon	5588137	5588786
chr21	exon	5553717	5553838
chr21	exon	5584810	5585063
chr21	exon	5585823	5585987
chr21	exon	5588137	5588184
chr21	exon	5565963	5566183
chr21	exon	5585823	5585987
chr21	exon	5590019	5591234
chr21	exon	5582228	5585987
chr21	exon	5588137	5592004
chr21	exon	5583466	5585257
chr21	exon	5589347	5589528
chr21	exon	5585778	5585987
chr21	exon	5590019	5592003
chr21	gene	5597390	5597490
chr21	exon	5597390	5597490
chr21	gene	5703182	5705637
chr21	exon	5703182	5705637
chr21	gene	5705345	5707160
chr21	exon	5705345	5705453
chr21	exon	5706963	5707160
chr21	gene	5707004	5709456
chr21	exon	5709154	5709456
chr21	exon	5707004	5707157
chr21	gene	5972924	5973383
chr21	exon	5972924	5973383
chr21	gene	6008604	6008810
chr21	exon	6008604	6008810
chr21	gene	6060340	6076305
chr21	exon	6060340	6060499
chr21	exon	6062524	6062591
chr21	exon	6066867	6067049
chr21	exon	6076004	6076305
chr21	gene	6084381	6091407
chr21	exon	6091367	6091407
chr21	exon	6089196	6089499
chr21	exon	6087345	6087527
chr21	exon	6084381	6087093
chr21	gene	6111131	6123778
chr21	exon	6111131	6111252
chr21	exon	6112070	6112239
chr21	exon	6112739	6112855
chr21	exon	6116224	6116287
chr21	exon	6116462	6116623
chr21	exon	6116894	6117018
chr21	exon	6117128	6117251
chr21	exon	6117804	6118027
chr21	exon	6118256	6118402
chr21	exon	6118783	6118908
chr21	exon	6119024	6119240
chr21	exon	6119720	6120001
chr21	exon	6120487	6120718
chr21	exon	6121144	6123778
chr21	gene	6215291	6217681
chr21	exon	6215291	6217681
chr21	gene	6223480	6223580
chr21	exon	6223480	6223580
chr21	gene	6228966	6267317
chr21	exon	6267135	6267304
chr21	exon	6254791	6254849
chr21	exon	6234983	6235147
chr21	exon	6228966	6230951
chr21	exon	6234983	6235192
chr21	exon	6228967	6230951
chr21	exon	6267135	6267275
chr21	exon	6234983	6235147
chr21	exon	6230399	6230951
chr21	exon	6267135	6267313
chr21	exon	6230666	6230951
chr21	exon	6267135	6267278
chr21	exon	6235989	6236160
